"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.201979083E0,2.842139740E0,-2.528242493E0,-8.331674194E-1,3.894089926E0
1.211923083E0,-4.780758362E0,4.257147217E-1,-3.691323853E-1,4.813849006E0
1.221867083E0,-1.283580780E1,4.839436340E0,1.040486298E0,1.375720603E1
1.231811083E0,-2.049717590E1,1.152363647E1,1.385069733E0,2.355518702E1
1.241755083E0,-2.740770538E1,1.961191681E1,2.383044434E-1,3.370261688E1
1.251699083E0,-3.070609634E1,2.567835159E1,-4.435276794E-1,4.003047352E1
1.261643083E0,-2.791245575E1,2.950334747E1,9.280700684E-2,4.061479178E1
1.271587083E0,-2.273337570E1,3.053679840E1,-1.631457367E0,3.810464644E1
1.281531083E0,-1.897948196E1,2.921684326E1,-4.489015045E0,3.512827809E1
1.291474083E0,-1.707723770E1,2.723795837E1,-7.062313843E0,3.291526547E1
1.301418083E0,-1.600516708E1,2.377925079E1,-8.742719421E0,2.996753718E1
1.311362083E0,-1.303175034E1,1.968780899E1,-7.689808960E0,2.483081758E1
1.321306083E0,-9.085805969E0,1.540506500E1,-5.234913940E0,1.863524139E1
1.331250083E0,-5.457650757E0,1.072564590E1,-2.572400665E0,1.230620482E1
1.341194083E0,-2.532433777E0,6.033503265E0,-1.468446350E-1,6.545070346E0
1.351138083E0,-3.727249146E-2,1.472188568E0,1.843266907E0,2.359313737E0
1.361082083E0,2.546504517E0,-3.207529907E0,3.836222534E0,5.611553857E0
1.371026083E0,5.359005890E0,-7.705825653E0,6.505172424E0,1.141998080E1
1.380970083E0,9.160051575E0,-1.149399811E1,1.000444565E1,1.777941141E1
1.390914083E0,1.464060471E1,-1.331301544E1,1.366598145E1,2.404875746E1
1.400858083E0,1.968750961E1,-1.351988525E1,1.584754486E1,2.866234481E1
1.410802083E0,2.297063232E1,-1.307336380E1,1.655826691E1,3.118876390E1
1.420745083E0,2.361055161E1,-1.202105209E1,1.523037827E1,3.056023990E1
1.430689083E0,2.171489365E1,-1.112217133E1,1.172257278E1,2.706765623E1
1.440633083E0,1.828178284E1,-1.047117508E1,8.338260498E0,2.265823646E1
1.450577083E0,1.591400665E1,-8.663384399E0,5.759423218E0,1.901264823E1
1.460521083E0,1.278670990E1,-6.694229279E0,4.110003204E0,1.500682452E1
1.470465083E0,7.109166412E0,-5.475014648E0,2.881507874E0,9.424389641E0
1.480409083E0,-2.096989288E0,-4.169279938E0,2.176623688E0,5.149558229E0
1.490353083E0,-1.342034225E1,-8.083190918E-1,1.573976898E0,1.353648290E1
1.500297083E0,-2.192355972E1,6.752308502E0,2.323168945E-1,2.294101376E1
1.510241083E0,-2.762699936E1,1.576506638E1,-6.288423157E-1,3.181483701E1
1.520185083E0,-3.189178070E1,2.280058594E1,-1.894011383E0,3.924970923E1
1.530129083E0,-3.013787796E1,2.737686951E1,-4.044289856E0,4.091626758E1
1.540073083E0,-2.606933853E1,2.808025681E1,-5.958808594E0,3.877652168E1
1.550016083E0,-2.210812592E1,2.726160919E1,-7.456144867E0,3.588256768E1
1.559960083E0,-1.839419907E1,2.641122757E1,-6.567143555E0,3.284854450E1
1.569904083E0,-1.663790131E1,2.404674454E1,-5.143903198E0,2.969049381E1
1.579848083E0,-1.490465561E1,2.085583008E1,-3.643423462E0,2.589187018E1
1.589792083E0,-1.193064011E1,1.708038116E1,-1.749711456E0,2.090791918E1
1.599736083E0,-8.202941895E0,1.256906250E1,4.086502075E-2,1.500903920E1
1.609679917E0,-4.809498596E0,7.465425568E0,1.557960205E0,9.016157477E0
1.619623917E0,-1.728904724E0,1.308429108E0,3.054548035E0,3.745845962E0
1.629567917E0,2.306852875E0,-4.926704865E0,4.949906616E0,7.354968832E0
1.639511917E0,6.511609039E0,-1.059691360E1,7.829767914E0,1.469696893E1
1.649455917E0,1.152707932E1,-1.526974640E1,1.121078705E1,2.217477077E1
1.659399917E0,1.864911896E1,-1.735880219E1,1.447983902E1,2.930500621E1
1.669343917E0,2.581172424E1,-1.650482803E1,1.607716736E1,3.459956311E1
1.679286917E0,2.995870056E1,-1.553499481E1,1.591161163E1,3.731004138E1
1.689230917E0,2.994178574E1,-1.464090408E1,1.438164322E1,3.630011387E1
1.699174917E0,2.594075592E1,-1.312231201E1,1.102187988E1,3.109018698E1
1.709118917E0,1.950818253E1,-1.144280457E1,7.662565613E0,2.387931895E1
1.719062917E0,1.316257828E1,-8.852291565E0,5.032684479E0,1.664164793E1
1.729006917E0,6.228697357E0,-6.193370819E0,2.962639160E0,9.269937630E0
1.738950917E0,-1.529219971E0,-3.618874512E0,2.007625122E0,4.411952525E0
1.748894917E0,-8.701255646E0,5.743556213E-1,1.457219696E0,8.841109853E0
1.758838917E0,-1.598750381E1,6.186185760E0,-2.395019531E-3,1.714261293E1
1.768782917E0,-2.238295441E1,1.289014481E1,-6.357279968E-1,2.583711732E1
1.778726917E0,-2.627516052E1,2.018148239E1,-4.785548401E-1,3.313465417E1
1.788670917E0,-2.708108459E1,2.576921265E1,-5.593867493E-1,3.738649993E1
1.798614917E0,-2.575529160E1,2.850926468E1,-1.560504913E0,3.845189714E1
1.808557917E0,-2.377326324E1,2.989119095E1,-2.541415100E0,3.827675708E1
1.818501917E0,-2.248264709E1,3.011692154E1,-2.905757446E0,3.769538181E1
1.828445917E0,-2.156565399E1,2.827919312E1,-2.995420990E0,3.568981286E1
1.838389917E0,-1.958093124E1,2.457589417E1,-3.304079132E0,3.159595514E1
1.848333917E0,-1.604468491E1,1.967089417E1,-3.497626648E0,2.562439040E1
1.858277917E0,-1.171523804E1,1.411759232E1,-3.409010925E0,1.865943650E1
1.868221917E0,-6.961124268E0,8.044271851E0,-3.173700256E0,1.110134830E1
1.878165917E0,-2.089205475E0,1.361119537E0,-2.426454163E0,3.479239244E0
1.888109917E0,2.776127014E0,-5.410199432E0,-4.453239441E-1,6.097167581E0
1.898053917E0,7.683971100E0,-1.104044128E1,3.154989166E0,1.381624813E1
1.907997917E0,1.384171600E1,-1.435215454E1,8.888516235E0,2.183078475E1
1.917941917E0,2.042816940E1,-1.493040207E1,1.451067490E1,2.916824810E1
1.927885917E0,2.502690628E1,-1.471050934E1,1.761596741E1,3.395684659E1
1.937828917E0,2.647020493E1,-1.429003372E1,1.788870026E1,3.499832009E1
1.947772917E0,2.470312958E1,-1.355191864E1,1.568902451E1,3.224972247E1
1.957716917E0,2.039688446E1,-1.280826508E1,1.186851929E1,2.685044320E1
1.967660917E0,1.593286743E1,-1.097143478E1,7.935747528E0,2.090944128E1
1.977604917E0,1.123593475E1,-8.454868011E0,4.625531158E0,1.480292408E1
1.987548917E0,3.720962219E0,-6.331533508E0,2.899769897E0,7.895729343E0
