"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.440177708E0,-8.927435303E-1,2.475701752E0,6.739135895E0,7.234780078E0
2.450123708E0,-8.632548523E-1,2.593207397E0,6.369554443E0,6.931172870E0
2.460068708E0,-7.849676514E-1,2.698139191E0,6.011349335E0,6.635695150E0
2.470013708E0,-6.198609924E-1,2.826721802E0,5.704337769E0,6.396409397E0
2.479959708E0,-4.435276794E-1,2.954406281E0,5.511688385E0,6.269285615E0
2.489904708E0,-3.073109436E-1,3.059637451E0,5.498515778E0,6.299960088E0
2.499849708E0,-1.758842468E-1,3.159180450E0,5.510939941E0,6.354668790E0
2.509794708E0,-9.011260986E-2,3.206631775E0,5.579347687E0,6.435816050E0
2.519740708E0,-5.254074097E-2,3.176394653E0,5.756728821E0,6.575117508E0
2.529685708E0,-1.392105103E-2,3.154390411E0,5.956263885E0,6.739989031E0
2.539630708E0,4.760101318E-2,3.135379944E0,6.190227356E0,6.939148937E0
2.549576708E0,1.670526123E-1,3.150348816E0,6.406078491E0,7.140759475E0
2.559521708E0,2.481838989E-1,3.131038971E0,6.659800873E0,7.363283775E0
2.569466708E0,2.761756897E-1,3.062780914E0,6.942862244E0,7.593433747E0
2.579411708E0,3.264710999E-1,3.003653870E0,7.193441162E0,7.802186597E0
2.589357708E0,3.758683777E-1,3.016078033E0,7.294630737E0,7.902508547E0
2.599302708E0,4.409829712E-1,3.106340332E0,7.346722412E0,7.988626067E0
2.609247708E0,4.785548401E-1,3.253035278E0,7.372019806E0,8.072046164E0
2.619193708E0,5.111869812E-1,3.473526764E0,7.347470856E0,8.143219774E0
2.629138708E0,5.260061646E-1,3.603905640E0,7.333250427E0,8.187880078E0
2.639083708E0,4.354444885E-1,3.678300934E0,7.481292572E0,8.348008637E0
2.649028708E0,2.998265076E-1,3.818409576E0,7.647596741E0,8.553121275E0
2.658974708E0,1.748364258E-1,3.939058685E0,7.837851105E0,8.773748403E0
2.668919708E0,-7.948471069E-2,3.993695068E0,8.013735352E0,8.954098079E0
2.678864708E0,-4.120930481E-1,4.072730713E0,8.279432831E0,9.236122787E0
2.688810708E0,-5.992039490E-1,4.124972076E0,8.756341095E0,9.697832200E0
2.698755708E0,-6.551875305E-1,4.163292389E0,9.301956482E0,1.021218236E1
2.708700708E0,-5.541476440E-1,4.248614960E0,9.919123077E0,1.080494384E1
2.718645708E0,-2.715353394E-1,4.503983917E0,1.037552399E1,1.131419907E1
2.728591708E0,1.222956848E-1,4.959037628E0,1.062086380E1,1.172219085E1
2.738536708E0,2.457888794E-1,5.309758301E0,1.074854828E1,1.199104814E1
2.748481708E0,-1.646575928E-1,5.322332153E0,1.090078171E1,1.213183306E1
2.758427708E0,-7.714956665E-1,5.274731140E0,1.113579300E1,1.234600664E1
2.768372708E0,-1.096918945E0,5.421875153E0,1.139969421E1,1.267095062E1
2.778317708E0,-1.227148132E0,5.493126984E0,1.170326294E1,1.298640443E1
2.788262708E0,-1.439855804E0,5.351671143E0,1.211445786E1,1.332192396E1
2.798208708E0,-1.503623199E0,5.092859344E0,1.257175690E1,1.364724040E1
2.808153708E0,-1.446442108E0,4.864284668E0,1.310150528E1,1.405001426E1
2.818098708E0,-1.422342224E0,4.631069641E0,1.374067612E1,1.456969607E1
2.828044708E0,-1.523831177E0,4.310735779E0,1.446861237E1,1.517383433E1
2.837989708E0,-1.680106201E0,4.010460205E0,1.516137177E1,1.577256294E1
2.847934708E0,-1.914369049E0,3.819756775E0,1.560460007E1,1.617896455E1
2.857880708E0,-2.223925323E0,3.812871094E0,1.543200897E1,1.605087944E1
2.867825708E0,-2.598446503E0,3.866908722E0,1.464000595E1,1.536342024E1
2.877770708E0,-3.068020020E0,3.802991638E0,1.363664246E1,1.448563115E1
2.887715708E0,-3.398383026E0,3.707041168E0,1.257160721E1,1.354017981E1
2.897661708E0,-3.430416412E0,3.699257355E0,1.153860535E1,1.259331867E1
2.907606708E0,-3.231180725E0,3.688779144E0,1.061382843E1,1.169191919E1
2.917551708E0,-2.961591339E0,3.574416962E0,9.741741943E0,1.079115452E1
2.927496708E0,-2.549198914E0,3.414848785E0,8.978329468E0,9.938310086E0
2.937442708E0,-2.039359131E0,3.301534424E0,8.417595520E0,9.269036064E0
2.947387708E0,-1.600322113E0,3.205883331E0,8.110883331E0,8.867082227E0
2.957332708E0,-1.211580505E0,3.172652435E0,7.849676514E0,8.552840006E0
2.967278708E0,-8.640032959E-1,3.146456909E0,7.588170319E0,8.259964985E0
2.977223708E0,-5.876779175E-1,3.149899750E0,7.405849457E0,8.069314713E0
2.987168708E0,-3.670367432E-1,3.163970490E0,7.271878052E0,7.938868662E0
2.997113708E0,-2.288740540E-1,3.166365509E0,7.070397034E0,7.750404382E0
3.007059708E0,-1.155596924E-1,3.169359283E0,6.774013367E0,7.479669070E0
3.017004708E0,-3.652404785E-2,3.154091034E0,6.445895691E0,7.176293996E0
3.026949625E0,8.202941895E-2,3.145409088E0,6.159391479E0,6.916533131E0
3.036895625E0,2.606080627E-1,3.145558777E0,5.882018280E0,6.675372321E0
3.046840625E0,4.231700134E-1,3.118614807E0,5.673352203E0,6.487815996E0
3.056785625E0,6.750961304E-1,3.107238464E0,5.578299866E0,6.420912322E0
3.066730625E0,9.340576172E-1,3.135529633E0,5.610183563E0,6.494472213E0
3.076676625E0,1.143172760E0,3.186274109E0,5.689817963E0,6.620665760E0
3.086621625E0,1.135688324E0,3.209924927E0,5.761219482E0,6.692163770E0
3.096566625E0,9.827064514E-1,3.201991425E0,5.793552246E0,6.692063111E0
3.106512625E0,7.617658997E-1,3.282823334E0,5.867648163E0,6.766573083E0
3.116457625E0,5.858816528E-1,3.370989990E0,5.933361511E0,6.849205038E0
3.126402625E0,3.861968994E-1,3.381767578E0,5.904621277E0,6.815427530E0
3.136347625E0,9.924362183E-2,3.358865204E0,5.891149292E0,6.782143078E0
3.146293625E0,-1.085243225E-1,3.384162598E0,5.983956299E0,6.875468493E0
3.156238625E0,-2.525248718E-1,3.495231628E0,6.185287628E0,7.109022154E0
3.166183625E0,-2.995271301E-1,3.550317078E0,6.494843903E0,7.407932584E0
3.176129625E0,-2.173480225E-1,3.521427155E0,6.814279633E0,7.673467031E0
3.186074625E0,-1.240919495E-1,3.488495636E0,7.152725830E0,7.959050660E0
3.196019625E0,3.143463135E-3,3.583997040E0,7.469167786E0,8.284534512E0
3.205964625E0,1.145118713E-1,3.695066071E0,7.740852814E0,8.578311519E0
3.215910625E0,1.685494995E-1,3.820505219E0,8.020171967E0,8.885258996E0
3.225855625E0,1.465452576E-1,3.925437012E0,8.361312561E0,9.238077667E0
3.235800625E0,2.005828857E-2,4.048331451E0,8.606203308E0,9.510842510E0
3.245746625E0,-1.437011719E-1,4.248016205E0,8.675808563E0,9.661053045E0
3.255691625E0,-4.067042542E-1,4.424050140E0,8.590635681E0,9.671434713E0
3.265636625E0,-5.566923523E-1,4.530029755E0,8.729696503E0,9.850821132E0
3.275581625E0,-7.030879211E-1,4.644092560E0,9.186247101E0,1.031741557E1
3.285527625E0,-7.985893250E-1,4.781806183E0,9.586065674E0,1.074225630E1
